역코드(내부),역코드(외부),출구번호,건물명
0150,133,1,동자동
0150,133,1,서울시티투어버스 타는 곳
0150,133,1,서울역
0150,133,2,역전우체국
0150,133,2,경의선 서울역
0150,133,2,역전파출소
0150,133,2,문화역서울284
0150,133,2,서울로
0150,133,2,국민권익위원회
0150,133,3,한국주택금융공사
0150,133,3,봉래동1가
0150,133,3,남대문(숭례문)
0150,133,3,한국공정거래조정원
0150,133,3,안전보건공단 서울북부지사
0150,133,3,프랑스문화원
0150,133,4,남대문방면
0150,133,4,남대문로5가
0150,133,4,남창동방면
0150,133,4,남대문시장
0150,133,5,퇴계로방면
0150,133,5,한국장학재단
0150,133,5,남산공원방면
0150,133,7,남대문시장
0150,133,7,퇴계로
0150,133,9,남대문경찰서
0150,133,9,서울스퀘어
0150,133,09월 01일,버스환승센터
0151,132,1,경향신문사
0151,132,1,유관순기념관
0151,132,1,덕수궁미술관
0151,132,1,덕수궁
0151,132,1,서울시티투어 버스 타는곳
0151,132,1,서울시립미술관
0151,132,1,서울특별시청서소문별관
0151,132,1,서울특별시 의회별관
0151,132,1,창덕여중
0151,132,1,이화여고
0151,132,1,서울중앙지방법원 중부등기소
0151,132,1,정동극장
0151,132,2,서울특별시청서소문별관
0151,132,2,정동극장
0151,132,2,덕수궁미술관
0151,132,2,서울자유시민대학
0151,132,2,경향신문사
0151,132,2,창덕여중
0151,132,2,덕수궁
0151,132,2,서울시립미술관
0151,132,2,서울특별시 의회별관
0151,132,2,서울중앙지방법원 중부등기소
0151,132,3,대한성공회
0151,132,3,서울역사박물관
0151,132,3,서울시티투어 버스 타는곳
0151,132,3,서울특별시의회
0151,132,3,영국대사관
0151,132,3,광화문방면
0151,132,3,정부서울청사
0151,132,3,세종문화회관
0151,132,3,조선일보사
0151,132,4,광화문우체국
0151,132,4,동아일보사
0151,132,4,미국대사관
0151,132,4,서울신문사
0151,132,4,프레스센터
0151,132,5,을지로방면
0151,132,5,무교동
0151,132,5,서울특별시청
0151,132,6,소공동방면
0151,132,7,북창동방면
0151,132,7,한국은행본점
0151,132,7,남대문시장
0151,132,7,소공동사무소
0152,131,1,헌혈의집 광화문센터
0152,131,1,미국대사관
0152,131,1,종로소방서
0152,131,1,광화문
0152,131,1,종로구청
0152,131,1,서울지방국세청
0152,131,2,조계사
0152,131,2,안국동
0152,131,2,공평동
0152,131,3,인사동
0152,131,3,서울기독교 청년회
0152,131,3,종로1.2.3.4가 동주민센터
0152,131,4,청계천 방면
0152,131,4,서울 고용복지플러스센터
0152,131,4,관철동
0152,131,4,서울 고용노동청
0152,131,4,보신각
0152,131,5,광교
0152,131,5,무교동
0152,131,5,국민건강보험공단 종로지사
0152,131,5,예금보험공사
0152,131,5,한국관광공사 서울센터
0152,131,6,광화문 우체국
0152,131,6,서린동
0152,131,6,서울글로벌센터
0153,130,1,종로2가 지구대
0153,130,1,종로2가 우체국
0153,130,1,낙원상가
0153,130,1,탑골공원
0153,130,10,창덕궁
0153,130,10,종로3가소방파출소
0153,130,10,종로3가파출소
0153,130,11,종묘
0153,130,11,종묘시민공원
0153,130,12,종로4가
0153,130,12,대림상가
0153,130,12,세운상가
0153,130,13,기계공구상가
0153,130,13,청계천3가
0153,130,13,장사동
0153,130,14,청계천3가
0153,130,14,서울청소년수련관
0153,130,15,기업은행
0153,130,15,관수동
0153,130,15,종로2가
0153,130,2,창덕궁
0153,130,2,"종로1,2,3,4가동사무소"
0153,130,3,돈의동
0153,130,4,인사동방면
0153,130,5,인사동방면
0154,129,1,혜화경찰서
0154,129,1,서울특별시선거관리위원회
0154,129,1,종로5가우체국
0154,129,1,종로4가 방면
0154,129,1,서울신용보증재단
0154,129,2,삼양빌딩
