연번,호선,역번호,역명,경로,장애,유공자
1,1,150,서울역,1460872,388272,29791
2,1,151,시청,565414,136378,11388
3,1,152,종각,1032047,219725,16035
4,1,153,종로3가,2489647,405814,34588
5,1,154,종로5가,2303767,321227,23192
6,1,155,동대문,1036170,199931,9011
7,1,156,신설동,996356,180221,9934
8,1,157,제기동,2452804,307701,18213
9,1,158,청량리(서울시립대입구),2358285,364559,23967
10,1,159,동묘앞,1350866,251952,16072
11,2,201,시청,397696,96473,7207
12,2,202,을지로입구,743106,179527,12687
13,2,203,을지로3가,609475,121535,9114
14,2,204,을지로4가,763675,111314,9810
15,2,205,동대문역사문화공원(DDP),444983,92405,4590
16,2,206,신당,821811,148065,9118
17,2,207,상왕십리,552558,120821,5740
18,2,208,왕십리(성동구청),400448,108092,6002
19,2,209,한양대,93552,26341,2185
20,2,210,뚝섬,461692,117836,5773
21,2,211,성수,766049,277824,9621
22,2,212,건대입구,703319,172760,8148
23,2,213,구의(광진구청),827479,179834,9317
24,2,214,강변(동서울터미널),935783,168795,13777
25,2,215,잠실나루,674782,106351,9239
26,2,216,잠실(송파구청),1436399,310723,25689
27,2,217,잠실새내,864988,115844,9945
28,2,218,종합운동장,330129,51310,4874
29,2,219,삼성(무역센터),880271,185840,12050
30,2,220,선릉,1820075,297062,22076
31,2,221,역삼,1228526,252066,19881
32,2,222,강남,1391760,300131,19572
33,2,223,교대(법원.검찰청),1240412,170544,18829
34,2,224,서초,622581,95716,9751
35,2,225,방배,611669,89713,9091
36,2,226,사당,1458120,227735,20037
37,2,227,낙성대(강감찬),867861,162350,10559
38,2,228,서울대입구(관악구청),1527967,282633,21004
39,2,229,봉천,1151467,250302,12288
40,2,230,신림,1792211,406955,22791
41,2,231,신대방,1023322,216890,12486
42,2,232,구로디지털단지,1325161,318872,22069
43,2,233,대림(구로구청),963491,194936,10622
44,2,234,신도림,1531379,342727,24058
45,2,235,문래,629574,124667,7904
46,2,236,영등포구청,810426,202016,11207
